2018-04-14 19:35:48.630 [orders-insert-task] INFO  com.ec.customer.controller.OrderController:	Check orders:0
2018-04-14 19:35:49.595 [main] INFO  com.ec.customer.CustomerApplicationTests:	Started CustomerApplicationTests in 4.742 seconds (JVM running for 6.722)
2018-04-14 19:35:50.007 [Thread-8] INFO  com.ec.customer.controller.OrderController:	Destroy ExecutorService:orders-insert-task
2018-04-14 19:37:24.206 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ec.customer.CustomerApplicationTests], using SpringBootContextLoader
2018-04-14 19:37:24.213 [main] INFO  o.s.test.context.support.AbstractContextLoader:	Could not detect default resource locations for test class [com.ec.customer.CustomerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-04-14 19:37:24.214 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils:	Could not detect default configuration classes for test class [com.ec.customer.CustomerApplicationTests]: CustomerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-04-14 19:37:24.364 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Found @SpringBootConfiguration com.ec.customer.CustomerApplication for test class com.ec.customer.CustomerApplicationTests
2018-04-14 19:37:24.378 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-14 19:37:24.405 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1afd44cb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6973b51b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1ab3a8c8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43195e57, org.springframework.test.context.transaction.TransactionalTestExecutionListener@333291e3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@479d31f3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@40ef3420, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@498d318c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6e171cd7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@402bba4f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@795cd85e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@59fd97a8]
2018-04-14 19:37:24.414 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ec.customer.CustomerApplicationTests], using SpringBootContextLoader
2018-04-14 19:37:24.416 [main] INFO  o.s.test.context.support.AbstractContextLoader:	Could not detect default resource locations for test class [com.ec.customer.CustomerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-04-14 19:37:24.417 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils:	Could not detect default configuration classes for test class [com.ec.customer.CustomerApplicationTests]: CustomerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-04-14 19:37:24.429 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Found @SpringBootConfiguration com.ec.customer.CustomerApplication for test class com.ec.customer.CustomerApplicationTests
2018-04-14 19:37:24.435 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
